origin_zone,total,Hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
421,7,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
422,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0
423,10,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
424,165,0,0,0,0,1,8,10,24,12,14,5,8,9,10,7,12,8,4,11,9,3,6,4,0
425,151,0,0,0,0,0,4,19,24,7,9,8,10,7,6,5,8,8,9,6,4,9,5,2,1
426,64,0,0,0,0,2,6,6,4,2,1,1,6,4,2,5,3,3,7,2,3,4,2,1,0
427,55,0,0,0,0,0,4,8,3,3,2,3,3,1,2,3,4,2,5,4,2,2,4,0,0
428,142,0,0,0,0,2,5,16,13,12,8,6,5,7,13,7,6,6,9,9,6,5,3,3,1
429,33,0,0,0,0,1,1,2,2,1,3,0,3,1,1,3,1,2,4,5,1,0,1,1,0
430,115,0,0,0,0,1,1,7,8,12,4,7,8,5,0,5,11,15,7,6,5,8,2,2,1
431,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
432,176,0,0,0,0,2,3,8,11,17,16,13,8,10,13,11,15,8,9,7,10,7,6,2,0
433,71,0,0,0,0,1,0,5,7,5,4,3,3,5,8,7,2,2,6,4,3,2,2,2,0
434,52,0,0,0,0,2,3,3,5,3,0,1,3,5,2,1,4,7,2,3,4,1,0,2,1
435,26,0,0,0,0,0,0,1,2,2,1,2,2,2,4,0,2,1,1,3,2,0,1,0,0
436,11,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,2,0,0,2,0,0,0,1,0
437,173,0,0,0,0,0,5,5,13,11,9,6,8,15,14,6,14,20,15,11,9,5,4,3,0
438,36,0,0,0,0,1,1,4,0,3,2,3,1,2,3,2,4,2,0,3,1,3,1,0,0
